"metro","cbsa","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
"Jefferson City, MO","=""27620""","11,657",103,"11,657","27,396,835","3,287","2,542,342","6,997","9,193,468",842,469,661,"11,334","49,353,565",179,"310,601","10,016",0,"4,098","6,671","4,551",131,"5,526","5,091",0,"1,970",998,"1,556","1,918","1,287","1,165","1,100",941,566,575,0
"Johnson City, TN","=""27740""","18,558",122,"18,558","41,005,489","4,226","3,154,340","10,018","12,203,932",538,602,756,"17,896","70,394,890",543,"545,873","16,283",37,"7,005","9,846","8,261",292,"8,413","7,945",0,"3,879","2,067","3,440","4,030","2,257","1,682","1,414","1,285",982,914,0
"Johnstown, PA","=""27780""","10,192",21,"10,192","21,216,327","2,298","1,807,881","5,124","6,431,396",235,293,554,"9,905","39,639,669",93,"206,530","8,533",0,"3,067","5,425","4,333",60,"4,441","4,386",0,"1,287","1,084","1,696","1,949","1,026",741,624,482,373,332,0
"Jonesboro, AR","=""27860""","13,120",166,"13,120","34,908,945","3,247","2,385,946","8,426","10,887,452",472,474,397,"12,771","56,057,928",246,"331,442","11,739",0,"7,352","5,103","7,856",46,"6,898","5,325",0,"2,912",958,"2,063","2,914","1,947","1,260","1,111",927,642,597,0
"Joplin, MO","=""27900""","17,597",155,"17,597","42,745,027","5,038","3,860,493","10,856","14,558,822",632,580,694,"17,103","74,573,953",331,"448,103","15,138",0,"6,922","8,097","8,404",899,"9,600","6,697",0,"3,225","1,520","2,489","3,288","2,305","1,717","1,624","1,358","1,043","1,100",0
"Kahului-Wailuku-Lahaina, HI","=""27980""","12,697",189,"12,697","26,697,248","3,938","3,112,663","6,910","9,073,087",520,262,397,"11,824","48,008,629",754,"782,033","9,775",0,"3,899","6,356","6,078",161,"6,566","4,900",0,"3,160","1,381","1,948","2,254","1,266","1,283","1,253","1,109",890,621,0
"Kalamazoo-Portage, MI","=""28020""","25,985",313,"25,985","60,924,798","6,132","4,620,763","14,834","19,492,947",957,"1,101","1,545","25,158","101,832,855",669,"707,069","22,471",0,"10,930","14,140","10,792",835,"12,920","10,680",0,"5,277","2,757","4,707","5,601","3,229","2,408","2,254","1,745","1,226","1,272",0
"Kankakee, IL","=""28100""","10,117",130,"10,117","25,867,709","2,344","1,744,351","6,210","8,074,743",571,502,428,"9,923","44,466,626",105,"164,501","8,977",0,"4,402","5,019","4,693",257,"5,551","3,790",0,"2,106",879,"1,612","2,205","1,446",981,795,684,508,462,0
"Kansas City, MO-KS","=""28140""","147,836","2,233","147,836","352,203,522","43,047","33,070,207","89,116","116,281,225","8,589","6,684","7,710","143,023","600,385,328","3,883","4,443,331","126,165",65,"58,910","76,114","66,222","4,287","74,308","61,951",0,"27,183","13,064","23,102","28,694","18,059","15,113","14,606","12,791","9,016","7,409",0
"Kennewick-Richland, WA","=""28420""","20,457",559,"20,457","51,466,248","6,826","5,126,793","13,389","18,208,553","1,116",920,910,"20,047","90,960,730",309,"415,020","18,040",67,"6,052","10,962","9,058",335,"8,323","10,504",0,"2,930","1,545","2,738","3,407","2,794","2,501","2,310","1,943","1,407","1,415",53
"Killeen-Temple, TX","=""28660""","47,363",600,"47,363","126,602,243","13,854","10,367,194","32,966","46,278,894","3,299","2,490","2,706","46,608","233,810,398",671,"716,577","44,101",0,"20,915","26,786","19,109","1,291","20,960","23,099",0,"7,584","3,197","6,268","8,558","6,293","5,499","5,441","4,441","3,631","3,145",114
"Kingsport-Bristol-Bristol, TN-VA","=""28700""","28,310",117,"28,310","65,445,432","6,541","4,942,855","15,784","19,436,513",577,706,877,"27,344","110,858,327",828,"863,767","25,108",132,"11,434","13,908","13,869",288,"14,351","11,138",0,"6,210","2,922","5,091","6,131","3,583","2,650","2,218","1,817","1,574","1,443",0
"Kingston, NY","=""28740""","12,364",66,"12,364","25,001,007","2,696","2,054,154","5,982","7,225,530",471,313,410,"11,528","43,180,452",579,"639,507","9,689",0,"4,344","5,237","6,130",308,"6,525","4,105",0,"3,000","1,444","2,235","2,475","1,077",852,762,654,402,292,0
"Knoxville, TN","=""28940""","72,501",496,"72,501","170,912,585","16,908","12,680,261","41,440","52,410,703","2,635","2,251","2,634","69,917","284,275,076","2,212","2,383,111","63,988",95,"27,459","35,299","34,610","2,091","36,455","28,872",0,"17,810","7,149","12,923","16,288","9,250","6,878","5,820","4,933","3,811","3,650",0
"Kokomo, IN","=""29020""","7,885",85,"7,885","18,259,908","1,919","1,531,567","4,389","5,518,936",225,228,392,"7,734","31,763,937",122,"128,532","6,935",0,"2,994","3,319","3,988",509,"4,442","2,796",0,"1,194",954,"1,449","1,613","1,041",664,613,558,439,445,0
"La Crosse-Onalaska, WI-MN","=""29100""","7,823",27,"7,823","15,168,965","2,076","1,637,051","3,891","5,123,177",516,381,720,"7,457","27,818,044",269,"312,303","6,524",0,"2,155","3,743","3,677",313,"4,153","2,936",0,"1,523",964,"1,223","1,445",725,654,679,572,413,466,0
"Lafayette, LA","=""29180""","49,953",881,"49,953","138,765,060","11,277","8,085,851","30,669","38,631,857","2,490","1,674","1,465","48,465","214,436,411","1,356","1,387,034","44,000",62,"27,355","22,557","26,452",602,"29,841","17,266",0,"13,171","3,538","8,053","12,144","8,229","5,320","4,091","3,396","2,208","1,607",0
"Lafayette-West Lafayette, IN","=""29200""","14,060",207,"14,060","31,913,439","3,647","2,777,222","7,952","10,417,783",693,603,873,"13,675","56,472,172",311,"350,879","12,331",0,"5,243","7,307","5,781",796,"7,265","5,356",0,"2,255","1,382","2,288","2,876","1,479","1,272","1,118",972,701,711,0
"Lake Charles, LA","=""29340""","21,076",276,"21,076","55,678,260","4,885","3,639,485","13,111","16,479,412","1,170",773,707,"20,600","90,269,645",361,"444,965","19,199",112,"12,592","8,401","12,024",500,"10,763","8,671",0,"4,424","1,593","3,449","4,952","3,237","2,170","1,665","1,423","1,116",790,0
"Lake Havasu City-Kingman, AZ","=""29420""","17,728",194,"17,728","42,925,441","4,091","2,906,418","10,247","13,780,060",746,389,585,"17,066","68,622,024",522,"553,603","15,087",0,"7,193","8,340","9,045",149,"8,918","6,983",0,"3,448","1,599","2,906","3,891","2,501","1,815","1,521","1,149",788,707,0
"Lakeland-Winter Haven, FL","=""29460""","71,334","1,287","71,334","194,409,826","17,540","12,433,832","46,331","61,068,181","4,128","3,058","2,178","69,694","325,297,823","1,486","1,330,327","64,086",341,"30,719","36,970","33,121",939,"35,506","30,642",0,"17,395","4,853","10,869","16,082","11,166","8,118","6,656","5,306","3,769","2,932",0
"Lancaster, PA","=""29540""","35,561",538,"35,561","77,719,052","10,635","8,477,394","20,265","26,104,091","1,885","1,586","2,142","34,278","145,056,733",956,"1,265,872","29,957",0,"11,469","16,882","16,637","1,668","18,559","14,030",0,"6,438","3,676","5,499","6,385","3,881","3,457","3,321","2,863","2,313","2,201",0
"Lansing-East Lansing, MI","=""29620""","34,193",530,"34,193","78,919,775","8,039","6,129,755","19,193","24,776,173","1,371","1,576","2,189","32,980","131,834,573","1,014","966,926","29,098",370,"13,170","15,859","17,033","1,096","19,396","11,864",0,"7,925","3,598","6,067","7,693","4,209","2,965","2,698","2,429","1,732","1,666",0
"Laredo, TX","=""29700""","42,242","1,253","42,242","138,080,247","10,421","7,095,024","30,812","42,717,522","1,607","1,473",701,"41,172","208,189,827","1,054","1,029,974","37,992",128,"17,057","16,909","23,171","2,095","24,903","15,724",0,"14,101","1,687","5,582","11,110","7,634","5,210","3,947","2,959","1,992","1,727",94
"Las Cruces, NM","=""29740""","26,919",522,"26,919","72,688,474","6,551","4,610,756","17,172","22,149,121",808,944,"1,155","26,232","114,054,131",575,"552,721","23,964",0,"10,107","9,968","15,581","1,156","12,892","12,185",0,"5,278","2,204","4,359","5,820","4,194","3,048","2,299","1,723","1,267","1,038",0
"Las Vegas-Henderson-Paradise, NV","=""29820""","189,806","5,350","189,806","476,727,487","56,279","40,733,203","120,096","160,991,010","14,590","9,598","6,924","183,293","812,146,726","6,296","5,469,775","161,412",0,"79,513","77,537","109,171","2,622","110,414","65,545",0,"47,343","13,141","27,130","39,239","25,211","20,844","20,102","19,879","13,052","8,736",103
"Lawrence, KS","=""29940""","7,147",22,"7,147","13,537,035","1,815","1,432,776","3,411","4,286,604",483,462,687,"6,882","23,725,122",254,"208,644","6,059",0,"2,391","4,315","2,458",353,"3,291","3,050",0,"1,301",822,"1,431","1,529",693,593,620,551,414,382,0
"Lawton, OK","=""30020""","12,608",171,"12,608","31,599,176","3,814","2,918,246","8,202","11,029,356",732,527,595,"12,369","57,703,054",164,"192,684","11,624",0,"5,808","6,181","4,754","1,450","6,465","5,283",0,"1,524","1,000","1,755","2,178","1,453","1,377","1,228","1,078",850,850,0
"Lebanon, PA","=""30140""","10,752",180,"10,752","24,839,791","3,191","2,437,861","6,444","8,220,617",545,398,525,"10,415","45,970,965",257,"324,102","9,216",0,"4,356","4,932","5,441",249,"5,513","4,355",0,"1,684","1,084","1,709","1,957","1,311","1,171","1,076",815,636,603,0
"Lewiston, ID-WA","=""30300""","4,617",29,"4,617","9,902,399","1,305","1,005,934","2,519","3,220,158",278,197,278,"4,462","17,169,881",138,"129,577","4,025",0,"1,571","2,623","1,731",210,"2,065","2,073",0,686,477,749,864,470,441,415,383,317,233,0
"Lewiston-Auburn, ME","=""30340""","9,706",146,"9,706","22,486,615","2,642","1,926,152","5,654","7,052,143",639,227,523,"9,382","37,826,612",167,"281,242","8,341",0,"3,960","5,082","3,912",498,"4,644","4,160",0,"1,685","1,043","1,546","1,751","1,172","1,057",919,727,459,362,0
"Lexington-Fayette, KY","=""30460""","39,193",721,"39,193","88,806,491","9,291","6,962,480","21,884","27,391,686","2,023","1,568","2,422","37,923","149,937,185","1,205","1,103,345","33,299",0,"15,898","16,481","21,255","1,258","21,833","13,670",0,"8,097","4,725","7,096","8,447","4,614","3,652","3,227","2,855","2,159","1,725",0
"Lima, OH","=""30620""","9,483",103,"9,483","23,079,258","2,411","1,860,353","5,647","7,165,457",336,325,482,"9,258","40,542,124",177,"195,322","8,434",0,"3,826","5,377","3,621",364,"4,573","4,063",0,"1,368","1,032","1,689","2,001","1,173",884,774,665,501,469,0
"Lincoln, NE","=""30700""","20,204",266,"20,204","44,401,852","5,524","4,337,927","11,328","15,502,834","1,802",969,"1,607","19,513","79,093,824",527,"677,979","17,584",0,"6,423","10,421","8,199","1,246","9,930","8,267",0,"3,556","1,935","3,293","3,762","2,100","1,944","1,833","1,630","1,389","1,182",0
"Little Rock-North Little Rock-Conway, AR","=""30780""","67,613",820,"67,613","172,183,705","17,442","12,790,254","42,586","53,804,267","4,354","3,527","3,228","65,927","279,899,830","1,384","1,494,853","60,329",0,"32,537","33,149","32,444","1,494","36,122","26,866",0,"13,715","5,458","10,786","14,018","9,177","7,095","6,456","5,243","3,782","2,874",0
"Logan, UT-ID","=""30860""","9,170",99,"9,170","21,354,218","2,938","2,382,745","5,951","9,734,581",259,655,830,"8,901","38,331,873",191,"229,535","8,109",0,"2,149","4,078","4,710",233,"5,413","3,149",0,"2,318",542,"1,097","1,269",900,826,829,790,735,"1,154",26
"Longview, TX","=""30980""","20,804",244,"20,804","53,568,906","5,438","4,122,281","13,031","16,662,766",945,630,525,"20,305","92,377,337",341,"481,208","18,391",105,"10,033","9,699","10,713",246,"10,425","8,889",0,"4,337","1,737","3,181","4,326","3,093","2,186","1,888","1,512","1,133","1,036",0
"Longview, WA","=""31020""","7,862",140,"7,862","17,908,754","2,175","1,679,830","4,496","5,708,042",309,220,426,"7,679","30,879,927",148,"157,987","6,791",30,"2,673","5,102","2,484",218,"3,000","3,981",0,"1,042",936,"1,260","1,481",989,808,652,563,505,475,0
"Los Angeles-Long Beach-Anaheim, CA","=""31080""","1,132,893","39,980","1,132,893","2,701,967,944","260,754","184,775,593","610,800","778,196,825","45,500","62,690","39,247","1,036,549","3,993,286,788","94,546","81,109,784","828,582","1,447","296,737","275,904","839,058","14,758","754,630","303,927",0,"391,446","97,831","203,623","256,906","151,102","113,901","99,505","86,393","63,025","48,326",739
"Louisville/Jefferson County, KY-IN","=""31140""","111,940","2,199","111,940","258,341,610","29,224","21,970,514","64,335","79,213,806","6,025","4,486","5,481","108,658","449,580,439","2,860","2,787,773","97,397",0,"49,795","49,579","57,070","4,565","59,751","42,232",0,"20,290","12,025","19,296","22,773","13,238","11,194","10,501","8,573","6,301","4,538",0
"Lubbock, TX","=""31180""","29,824",370,"29,824","76,574,357","8,549","6,298,769","19,016","25,141,706","1,520","1,055","1,292","29,152","134,116,260",528,"655,202","26,852",261,"13,184","16,305","12,526",764,"11,709","15,494",0,"4,686","2,643","4,649","5,750","4,150","3,510","2,905","2,333","1,706","1,329",0
"Lynchburg, VA","=""31340""","20,460",111,"20,460","46,536,063","5,193","3,792,464","11,641","14,505,385",932,892,976,"19,888","81,594,658",404,"482,616","18,042",27,"7,785","11,891","7,733",635,"9,454","9,038",0,"3,463","1,984","3,462","4,239","2,542","1,979","1,793","1,473","1,078",967,0
"Macon, GA","=""31420""","28,969",390,"28,969","85,594,343","5,273","3,415,162","18,846","24,172,760","1,824","1,606",712,"28,495","127,662,881",398,"430,578","26,696",0,"17,905","13,110","15,469",255,"17,552","9,887",0,"8,737","1,721","5,080","7,983","4,432","3,227","2,495","1,752",945,619,0
"Madera, CA","=""31460""","13,924",466,"13,924","37,760,533","3,957","2,868,260","9,415","12,844,167",401,570,408,"13,451","59,158,995",422,"490,460","10,846",0,"4,253","4,430","9,268",159,"8,175","5,032",0,"2,703",880,"1,968","2,743","2,056","1,543","1,412","1,164",930,849,44
"Madison, WI","=""31540""","32,609",371,"32,609","63,886,450","8,778","6,922,422","16,009","20,203,776","1,730","1,592","2,469","31,149","111,489,956","1,065","1,267,102","27,062",0,"9,707","17,240","13,042","1,952","16,349","13,049",0,"6,520","3,931","5,596","6,429","2,980","2,615","2,721","2,403","1,762","1,445",0
"Manchester-Nashua, NH","=""31700""","24,027",284,"24,027","48,735,057","6,611","5,112,787","12,130","14,677,014","1,551","1,161","1,601","22,972","91,000,660",863,"1,103,732","19,803",0,"7,106","13,809","8,838","1,020","10,501","10,779",0,"4,398","2,850","3,960","4,446","2,535","2,225","2,206","2,080","1,390","1,051",0
"Manhattan, KS","=""31740""","7,144",69,"7,144","17,600,110","2,108","1,599,161","4,697","7,386,343",488,451,737,"7,000","35,101,424",69,"118,575","6,539",0,"2,391","4,045","2,193",746,"3,158","3,371",0,879,418,882,"1,129",689,712,768,639,574,572,0
"Mankato-North Mankato, MN","=""31860""","6,263",94,"6,263","12,137,145","1,441","1,128,311","3,001","3,999,372",458,267,539,"6,012","21,192,079",165,"232,587","4,960",0,"1,526","2,516","2,926",600,"3,695","1,912",0,"1,074",841,"1,139","1,110",559,423,466,343,288,215,0
"Mansfield, OH","=""31900""","10,955",53,"10,955","26,255,821","2,756","2,098,776","6,341","7,994,143",322,377,514,"10,661","45,265,188",257,"241,927","9,642",0,"4,360","6,018","4,694",184,"4,900","5,011",0,"1,884","1,169","1,820","2,350","1,384","1,077",862,760,557,567,0
"McAllen-Edinburg-Mission, TX","=""32580""","124,550","3,778","124,550","408,261,154","26,624","17,499,787","89,652","125,156,992","4,341","4,887","2,668","121,382","597,299,638","3,074","2,765,882","109,213",29,"63,983","39,796","83,281","1,393","81,293","37,918",0,"44,723","5,399","17,829","33,507","23,248","14,786","10,733","7,873","5,668","4,900",102
"Medford, OR","=""32780""","17,630",200,"17,630","37,867,718","4,487","3,324,463","9,646","12,357,190","1,012",585,995,"16,745","60,702,571",847,"796,026","14,449",61,"5,718","9,503","7,274",776,"9,775","6,274",0,"3,874","2,114","3,106","3,402","2,028","1,801","1,522","1,360","1,000",959,0
"Memphis, TN-MS-AR","=""32820""","176,064","2,784","176,064","523,570,729","35,310","23,475,832","114,044","148,016,476","12,036","11,654","5,198","172,876","811,527,621","2,875","2,911,898","161,625",366,"101,062","73,885","98,610","2,971","103,789","63,024",0,"56,270","8,882","27,302","47,484","30,400","19,253","16,007","12,312","7,686","4,457",0
"Merced, CA","=""32900""","27,816",860,"27,816","74,219,899","8,227","5,908,811","18,398","24,618,122",808,"1,156",676,"26,995","117,436,078",777,"921,154","21,410",0,"7,680","10,416","16,804",441,"12,524","13,499",0,"4,830","1,939","3,945","5,281","3,831","3,144","2,768","2,505","1,906","1,824",22
"Miami-Fort Lauderdale-West Palm Beach, FL","=""33100""","732,074","24,098","732,074","1,833,075,507","124,386","79,187,198","404,743","512,000,655","51,646","61,332","24,528","674,833","2,959,798,362","56,295","47,036,345","609,326",240,"286,113","186,143","536,214","8,266","530,598","165,980",0,"331,633","57,680","134,578","183,806","124,437","72,346","59,013","46,280","30,141","18,406",0
"Michigan City-La Porte, IN","=""33140""","9,961",120,"9,961","24,882,033","2,332","1,789,785","5,960","7,738,404",302,301,446,"9,736","42,402,340",175,"211,613","8,814",0,"4,147","6,050","3,774",81,"4,675","4,274",0,"1,871",847,"1,750","2,286","1,202",890,762,607,478,423,0
"Midland, MI","=""33220""","5,425",29,"5,425","11,221,112","1,203","906,323","2,755","3,467,160",177,213,366,"5,205","19,389,816",188,"178,628","4,619",0,"1,775","3,019","2,242",115,"2,451","2,322",0,"1,038",643,979,"1,219",603,485,413,355,301,308,0
"Midland, TX","=""33260""","11,593",338,"11,593","29,690,805","3,931","3,155,350","7,574","9,990,044",664,332,262,"11,146","53,778,058",410,"553,233","10,114",336,"6,086","4,437","6,955",158,"5,108","5,600",0,"2,856",817,"1,653","2,068","1,506","1,332","1,220","1,105",859,617,0
"Milwaukee-Waukesha-West Allis, WI","=""33340""","115,423","2,504","115,423","287,288,826","28,608","21,247,229","69,449","90,298,945","4,660","6,435","6,345","112,256","460,382,623","2,892","2,746,934","99,714","1,193","47,081","61,689","49,073","4,355","57,085","49,298",0,"22,058","10,650","20,256","26,731","15,217","11,300","10,105","8,698","6,054","4,400",0
"Minneapolis-St. Paul-Bloomington, MN-WI","=""33460""","202,680","4,138","202,680","447,171,059","58,608","45,337,723","113,116","150,528,874","13,203","11,338","17,051","192,789","757,543,623","9,037","8,771,518","167,280",0,"56,625","89,461","101,312","10,854","109,028","77,504",0,"44,180","21,769","32,156","38,161","22,641","20,103","19,695","17,885","13,255","10,079",34
"Missoula, MT","=""33540""","9,231",29,"9,231","16,802,598","1,929","1,437,186","4,155","5,146,838",459,440,820,"8,818","28,163,896",348,"371,212","7,565",0,"2,951","5,304","3,407",435,"4,203","3,630",0,"1,868","1,081","1,974","2,126",845,688,613,531,381,359,0
"Mobile, AL","=""33660""","52,521",748,"52,521","161,178,501","9,958","6,886,969","34,109","44,217,558","2,592","3,526","1,551","51,573","243,219,780",731,"765,543","48,644",26,"31,912","16,816","34,647",723,"30,452","19,720",0,"14,920","2,542","8,217","14,709","9,762","5,540","4,011","3,053","2,153","1,534",0
"Modesto, CA","=""33700""","49,854","1,396","49,854","125,330,267","13,904","10,337,820","31,095","40,355,984","1,782","1,913","1,568","48,105","199,171,900","1,684","1,804,853","38,597",0,"13,632","20,687","28,553",491,"23,022","22,788",0,"9,833","3,947","7,915","10,089","6,730","5,143","4,742","4,177","3,341","3,082",54
"Monroe, LA","=""33740""","22,973",393,"22,973","68,565,313","4,989","3,454,894","15,085","18,850,063","1,126",851,671,"22,581","101,628,537",290,"310,601","21,207",28,"14,464","8,989","13,511",348,"12,566","9,194",0,"5,923","1,258","3,733","6,142","3,981","2,416","2,089","1,351",870,558,0
"Monroe, MI","=""33780""","9,368",40,"9,368","20,812,979","2,413","1,868,973","5,057","6,310,703",210,345,486,"9,025","35,790,698",251,"291,696","7,883",0,"3,571","4,437","4,894",0,"4,608","3,899",0,"1,898",975,"1,705","1,973",989,835,726,643,536,420,0
"Montgomery, AL","=""33860""","44,780",323,"44,780","131,712,643","9,426","6,505,487","28,516","35,906,443","3,300","3,244","1,509","44,054","206,144,413",571,"583,517","41,638",0,"26,326","18,979","24,732",832,"27,260","15,520",0,"9,703","2,089","6,551","11,373","7,646","5,136","4,045","3,139","2,131","1,257",0
"Morgantown, WV","=""34060""","8,206",92,"8,206","16,196,202","1,824","1,408,150","3,945","4,822,533",205,264,486,"7,911","29,576,184",177,"234,777","6,998",0,"2,930","5,301","2,590",136,"3,760","3,242",0,"1,243",953,"1,480","1,613",955,632,485,367,320,266,0
"Morristown, TN","=""34100""","10,757",108,"10,757","25,933,952","2,613","1,950,913","6,258","7,837,490",181,239,276,"10,468","43,717,057",260,"245,370","9,652",0,"4,610","4,782","5,890",48,"5,015","4,628",0,"2,262","1,090","1,949","2,385","1,514","1,023",791,741,618,578,0
"Mount Vernon-Anacortes, WA","=""34580""","8,012",159,"8,012","17,738,548","2,565","2,015,280","4,549","5,838,242",394,252,323,"7,706","31,796,532",263,"266,066","6,629",0,"2,519","4,613","3,029",238,"3,684","3,414",0,"1,306",793,"1,242","1,394",874,802,778,701,529,492,0
"Muncie, IN","=""34620""","10,049",122,"10,049","23,459,783","2,214","1,673,894","5,695","7,058,275",323,319,467,"9,806","40,447,663",172,"200,741","8,823",0,"4,140","5,720","3,806",417,"4,736","4,343",0,"1,631","1,146","1,838","2,360","1,195",881,803,624,417,427,0
"Muskegon, MI","=""34740""","17,476",240,"17,476","43,775,086","4,357","3,213,832","10,597","13,485,537",650,779,879,"17,019","72,647,639",398,"355,586","15,381",0,"7,725","8,747","8,170",483,"8,333","7,698",0,"3,445","1,725","2,970","3,769","2,349","1,824","1,523","1,254",929,847,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","=""34820""","40,098",328,"40,098","94,549,865","8,528","5,998,432","22,443","27,461,084","1,703","1,365","1,509","38,508","148,300,087","1,440","1,352,165","34,495",24,"17,659","20,678","18,355",909,"21,451","14,919",0,"9,503","3,892","7,595","9,762","5,759","3,772","3,079","2,383","1,772","1,428",0
"Napa, CA","=""34900""","6,968",175,"6,968","14,117,904","2,286","1,784,843","3,613","4,558,508",259,225,226,"6,529","24,315,138",404,"398,342","4,685",0,"1,282","2,924","3,615",346,"3,656","2,612",0,"1,520",624,"1,040","1,220",746,653,695,640,524,452,0
"Naples-Immokalee-Marco Island, FL","=""34940""","26,938",847,"26,938","67,446,458","7,058","4,955,584","16,096","20,854,894","1,732","1,539",685,"25,420","112,492,375","1,452","1,568,384","21,352",0,"8,384","9,544","17,023",96,"15,168","9,662",0,"8,439","1,943","4,084","5,841","3,975","3,147","2,707","2,292","1,458","1,101",0
"Nashville-Davidson--Murfreesboro--Franklin, TN","=""34980""","149,269","2,420","149,269","354,348,711","40,709","31,104,560","87,818","113,601,502","9,314","6,374","7,927","143,053","604,942,921","5,716","6,085,020","129,980",195,"55,646","79,043","65,993","3,502","75,297","60,567",0,"36,933","13,466","24,723","30,815","18,355","14,899","14,559","12,178","9,252","7,474",66
"New Bern, NC","=""35100""","12,398",111,"12,398","31,104,023","3,355","2,395,866","7,844","10,113,752",617,501,397,"12,084","53,795,783",216,"270,136","11,132",0,"6,010","6,086","5,682",477,"6,819","4,794",0,"2,050",989,"1,828","2,504","1,519","1,298","1,196",978,706,590,0
"New Haven-Milford, CT","=""35300""","60,234","1,240","60,234","136,534,538","14,530","10,655,122","33,699","40,903,635","3,666","3,392","3,154","58,110","240,485,962","2,060","1,924,484","51,461",0,"24,906","28,573","28,444","3,047","31,136","23,637",0,"12,691","6,766","10,799","12,714","7,591","5,849","5,537","4,602","3,388","2,060",0
"New Orleans-Metairie, LA","=""35380""","133,428","2,332","133,428","366,917,526","27,685","19,257,975","81,896","103,558,157","8,614","7,997","5,249","128,632","573,450,865","4,474","4,333,946","118,833","3,120","68,491","58,262","71,402","3,059","76,452","48,700",0,"40,925","9,178","21,894","33,231","22,134","14,468","11,512","8,922","5,800","3,400",0
"New York-Newark-Jersey City, NY-NJ-PA","=""35620""","1,702,811","60,485","1,702,811","4,025,529,295","327,260","227,408,683","917,134","1,153,024,152","115,275","78,551","60,264","1,568,124","6,258,644,181","130,921","106,359,320","1,303,629",0,"562,163","402,946","1,244,754","49,700","1,097,416","479,804",0,"543,598","151,859","342,335","404,563","232,330","163,012","135,974","113,636","82,223","49,625",121
"Niles-Benton Harbor, MI","=""35660""","15,397",259,"15,397","39,639,031","3,408","2,479,005","9,051","11,923,452",341,593,568,"14,935","64,986,414",348,"377,301","13,478",0,"7,268","9,294","5,679",283,"6,619","7,445",0,"2,705","1,433","2,603","3,478","2,490","1,427","1,132",907,684,590,0
"North Port-Sarasota-Bradenton, FL","=""35840""","54,673",759,"54,673","127,056,428","13,441","9,755,161","30,220","38,688,312","3,864","2,290","2,184","51,859","211,813,434","2,640","2,590,389","45,477",45,"18,328","28,495","24,567","1,236","29,146","20,457",0,"15,380","5,491","9,000","11,866","7,237","5,548","5,067","4,065","2,810","2,148",0
"Norwich-New London, CT","=""35980""","17,723",197,"17,723","37,822,001","4,956","3,789,298","9,739","11,550,382",853,699,812,"17,175","70,258,888",358,"479,871","15,368",0,"6,998","9,608","7,491",457,"8,493","7,334",0,"2,792","1,835","3,019","3,365","2,104","1,727","1,536","1,327",999,875,0
"Ocala, FL","=""36100""","33,706",329,"33,706","87,122,610","7,469","5,249,217","20,448","26,863,376","2,099","1,246","1,023","32,535","143,203,900","1,076","998,636","29,496",80,"13,134","18,570","14,161",751,"16,464","14,233",0,"8,582","2,864","5,528","7,634","5,114","3,612","2,855","2,221","1,627","1,289",0
"Ocean City, NJ","=""36140""","6,827",69,"6,827","14,392,304","1,608","1,140,841","3,539","4,086,665",239,230,332,"6,599","25,154,398",175,"246,237","5,643",0,"2,671","3,245","3,294",70,"2,956","2,847",0,"1,080",675,"1,297","1,544",792,590,535,438,296,200,0
"Odessa, TX","=""36220""","14,262",346,"14,262","37,113,948","4,859","3,938,870","9,463","12,527,007",718,309,298,"13,775","68,127,161",451,"645,908","12,557",129,"7,085","5,445","8,678",55,"6,540","6,640",0,"3,451",989,"1,958","2,605","1,933","1,610","1,525","1,345",974,902,0
"Ogden-Clearfield, UT","=""36260""","40,160",444,"40,160","93,153,506","13,889","11,133,852","25,769","38,351,391","1,784","2,533","2,773","39,179","167,093,925",866,"852,157","35,494",0,"12,142","21,811","16,334","1,635","21,052","16,099",0,"7,489","3,043","5,335","6,312","4,274","4,020","3,988","3,918","3,427","4,466",342
"Oklahoma City, OK","=""36420""","106,478","1,685","106,478","264,150,940","31,860","24,432,713","66,601","88,089,820","6,102","4,196","5,115","102,794","439,722,058","3,139","3,440,386","94,721",0,"47,979","52,565","50,555","2,582","56,075","42,813",0,"23,892","8,640","15,650","20,417","13,520","11,166","10,526","9,553","7,036","5,887",23
"Olympia-Tumwater, WA","=""36500""","17,945",156,"17,945","36,863,638","5,540","4,376,947","9,756","12,651,915","1,038",871,"1,250","17,321","70,492,033",570,"511,284","15,506",0,"4,972","12,356","4,944",556,"7,064","8,643",0,"2,895","2,013","2,764","3,124","1,828","1,694","1,704","1,696","1,468","1,274",0
"Omaha-Council Bluffs, NE-IA","=""36540""","63,150",962,"63,150","150,337,023","18,616","14,137,873","38,286","51,533,870","5,228","2,703","3,976","61,354","265,361,923","1,367","1,688,327","56,200",0,"24,777","31,624","27,681","3,110","31,085","26,794",0,"10,638","5,255","9,201","11,809","7,381","6,445","6,310","5,540","3,966","3,507",22
