"metro","cbsa","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
"Binghamton, NY","=""13780""","19,961",202,"19,961","44,324,699","4,642","3,488,439","10,821","13,625,318",633,569,"1,237","19,270","77,828,005",490,"546,425","17,302",0,"8,226","10,433","8,121","1,219","9,934","7,977",0,"3,719","2,282","3,664","4,276","2,291","1,785","1,500","1,291",909,858,0
"Birmingham-Hoover, AL","=""13820""","107,914","1,187","107,914","299,125,671","23,869","17,075,801","66,348","84,779,743","7,217","6,585","3,613","105,410","479,466,387","1,813","2,213,105","98,641",376,"62,695","39,535","65,750","1,908","63,804","38,518",0,"25,501","6,038","16,545","25,559","18,161","11,433","9,750","8,049","5,567","3,884",0
"Bismarck, ND","=""13900""","6,525",53,"6,525","13,283,495","2,046","1,680,319","3,580","4,323,650",544,203,704,"6,292","25,336,840",188,"264,249","5,393",0,"2,527","3,053","2,951",301,"3,035","2,776",0,966,746,"1,016","1,096",581,564,632,572,431,283,0
"Blacksburg-Christiansburg-Radford, VA","=""13980""","11,256",68,"11,256","23,120,251","2,795","2,184,158","5,827","7,193,311",334,327,426,"10,880","41,686,258",254,"320,592","9,862",0,"4,449","5,359","5,348",270,"5,110","4,731",0,"1,884","1,275","2,009","2,171","1,199",832,814,744,563,493,0
"Bloomington, IL","=""14010""","11,149",168,"11,149","25,371,127","2,688","1,991,047","6,279","7,929,448",628,452,520,"10,840","44,167,575",210,"226,104","9,934",0,"4,247","6,145","4,312",475,"5,344","4,509",0,"1,866",955,"1,771","2,312","1,285","1,044",757,631,457,381,0
"Bloomington, IN","=""14020""","10,493",78,"10,493","21,019,224","2,365","1,834,043","5,115","6,406,079",534,419,821,"10,100","36,594,705",351,"320,905","9,051",0,"3,687","5,867","3,888",642,"5,489","3,730",0,"2,219","1,345","2,050","2,204","1,010",802,811,649,528,512,0
"Bloomsburg-Berwick, PA","=""14100""","5,168",0,"5,168","10,467,470","1,327","1,071,140","2,640","3,298,634",169,181,344,"4,997","20,594,525",107,"164,727","4,344",0,"1,590","2,606","2,399",82,"2,360","2,253",0,813,542,891,964,566,433,445,432,304,234,0
"Boise City, ID","=""14260""","51,661",614,"51,661","119,531,714","15,339","11,786,586","30,307","43,141,309","3,104","2,896","4,274","49,381","195,183,358","2,134","2,203,037","43,812",69,"17,335","28,853","21,616",904,"26,908","20,659",0,"11,875","4,404","7,396","9,263","5,945","5,342","5,348","4,691","3,783","4,151",148
"Boston-Cambridge-Newton, MA-NH","=""14460""","256,246","6,184","256,246","523,001,448","64,151","48,536,508","127,711","151,131,428","17,290","13,422","15,095","241,792","946,939,971","13,215","13,854,128","193,447",0,"72,248","104,448","139,581","10,271","131,221","98,082",0,"55,026","29,885","45,811","51,479","28,413","23,735","22,789","20,287","15,236","9,500",0
"Boulder, CO","=""14500""","14,481",196,"14,481","25,444,763","3,387","2,599,973","6,234","7,918,930",643,644,"1,364","13,182","42,043,623","1,254","1,157,410","10,968",0,"3,707","8,009","5,859",562,"8,153","4,605",0,"4,402","2,131","2,889","3,070","1,296","1,121","1,078",981,727,632,0
"Bowling Green, KY","=""14540""","15,589",253,"15,589","36,832,576","3,771","2,813,567","9,036","11,581,088",507,552,717,"14,917","62,268,942",569,"662,276","13,205",0,"6,447","5,268","9,744",467,"8,333","5,863",0,"3,638","1,589","2,694","3,210","1,845","1,555","1,292","1,101",866,761,0
