"STATE","STFIPS","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14","STATEFIPS"
OH,39,"947,629","11,193","947,629","2,281,214,804","233,179","177,021,067","549,864","703,209,979","36,455","42,453","47,532","918,612","3,873,926,282","24,188","24,724,081","820,652","2,209","370,144","527,683","391,496","21,662","483,003","382,170",0,"191,639","94,217","160,499","205,621","120,928","89,835","78,668","67,911","49,952","40,991",0,"=""39"""
OK,40,"327,576","3,861","327,576","819,590,137","95,507","73,852,337","205,464","271,723,136","13,336","10,097","12,781","317,436","1,382,848,624","7,280","9,127,430","292,096",0,"153,851","147,568","165,619","9,603","172,159","130,547",0,"68,732","26,198","47,559","60,516","40,383","33,465","30,100","26,321","19,541","17,667",46,"=""40"""
OR,41,"275,589","4,596","275,589","584,114,790","70,952","53,815,950","147,892","195,207,684","13,733","11,124","18,250","262,348","966,925,762","11,542","11,753,398","222,841",61,"88,672","162,551","98,895","11,270","132,790","112,450",0,"55,330","29,747","47,118","53,248","29,859","26,144","23,968","20,540","15,876","14,843",0,"=""41"""
PA,42,"922,682","12,678","922,682","2,057,914,845","233,568","176,553,776","510,950","636,841,121","49,382","43,441","55,591","890,006","3,710,824,397","25,375","28,473,245","778,792",120,"342,516","452,980","433,320","23,833","463,425","368,776",0,"166,395","97,977","156,289","184,979","105,388","85,643","78,754","67,577","48,944","38,076",0,"=""42"""
RI,44,"83,097","1,647","83,097","188,847,091","21,225","15,569,428","45,870","54,790,734","3,860","4,013","4,048","79,782","327,806,464","3,044","2,955,057","68,485",0,"29,098","30,436","47,814","4,437","47,253","28,478",0,"17,971","8,388","14,710","18,282","10,533","8,253","7,423","6,197","4,263","2,927",0,"=""44"""
SC,45,"491,378","5,290","491,378","1,250,706,730","119,370","84,879,060","300,394","375,392,178","29,214","23,177","18,409","477,558","1,965,644,053","11,967","12,010,779","432,492","1,805","246,006","218,243","260,471","9,822","266,459","189,905",0,"102,808","38,007","81,623","109,576","70,395","53,533","45,191","35,960","25,009","19,157",53,"=""45"""
SD,46,"60,680",480,"60,680","134,256,489","17,436","13,889,219","35,319","47,750,449","4,670","1,919","4,178","58,263","254,360,035","1,032","2,251,782","51,392",143,"19,422","27,651","28,723","1,960","27,066","26,407",0,"9,931","6,149","8,289","9,117","5,262","5,112","4,991","4,265","3,081","2,615",0,"=""46"""
TN,47,"648,193","7,192","648,193","1,645,938,580","154,718","113,687,012","389,405","499,037,160","30,776","26,534","24,000","627,457","2,731,262,379","17,395","19,100,049","577,079","1,168","280,566","306,226","326,351","11,956","332,415","261,092",0,"167,128","53,491","107,699","146,660","90,119","64,675","56,432","46,217","33,924","27,843",136,"=""47"""
TX,48,"2,546,220","53,552","2,546,220","6,879,297,631","673,970","496,307,252","1,636,055","2,204,340,078","140,599","124,303","91,073","2,457,337","11,390,207,446","81,298","90,381,826","2,226,456","5,498","1,132,019","1,108,893","1,362,262","63,495","1,377,984","994,913",0,"710,527","171,808","370,047","547,585","382,683","283,615","246,581","205,127","150,605","123,029","1,378","=""48"""
UT,49,"190,495","2,905","190,495","445,438,147","60,791","47,698,613","120,378","181,925,385","7,095","11,452","13,258","184,613","772,753,824","5,065","5,430,660","164,964",28,"56,168","93,713","88,479","6,089","105,291","69,993",0,"42,318","14,351","25,926","31,929","20,572","19,040","18,220","16,955","14,667","18,552","1,300","=""49"""
VA,51,"609,816","9,481","609,816","1,412,271,832","158,033","117,203,733","350,999","446,768,305","36,156","30,316","26,177","585,765","2,428,982,240","20,034","22,235,823","529,421","1,270","225,504","333,197","254,914","15,718","318,172","238,077",0,"131,040","52,494","97,783","124,282","75,590","60,042","55,456","47,901","35,151","28,660",142,"=""51"""
VT,50,"43,607",121,"43,607","84,089,088","11,392","9,220,730","20,536","25,312,429","1,427",739,"2,459","40,544","152,334,658","1,505","2,521,170","32,961",0,"12,669","22,198","17,687","1,307","20,847","16,523",0,"10,315","4,358","6,186","6,898","3,060","2,771","2,612","2,263","1,533",961,0,"=""50"""
WA,53,"438,765","8,460","438,765","952,884,388","130,660","101,654,362","242,376","318,807,854","20,729","18,272","24,598","420,649","1,701,799,886","15,873","17,782,425","367,604",408,"125,101","256,451","163,092","15,201","189,245","201,054",0,"79,163","45,499","68,249","78,846","47,447","43,505","41,264","37,941","30,112","26,781",258,"=""53"""
WI,55,"383,214","4,082","383,214","847,750,519","102,326","80,036,410","209,567","270,999,323","15,423","15,874","22,642","368,641","1,451,513,668","10,138","12,427,780","321,526","1,437","126,406","188,858","178,183","12,088","193,342","155,072",0,"73,969","37,965","62,324","76,383","41,701","33,649","31,500","27,391","20,419","17,821",0,"=""55"""
WV,54,"155,105",540,"155,105","347,597,465","35,905","28,197,795","84,363","103,732,070","2,331","2,573","4,651","151,190","617,037,142","1,676","3,135,402","132,507",0,"64,486","79,983","64,334","4,274","65,265","67,849",0,"21,091","14,759","24,672","28,995","16,653","11,519","9,319","7,381","5,756","5,331",0,"=""54"""
WY,56,"34,828",103,"34,828","73,328,505","10,291","8,237,131","18,998","24,485,738","1,593",925,"1,683","33,633","136,056,745",731,"1,104,344","29,230",69,"12,502","18,076","14,662",894,"15,282","14,917",0,"5,659","3,650","5,525","5,951","3,234","2,906","2,727","2,422","1,812","1,866",0,"=""56"""
